epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.737,1.26941,2.01797,1.53974,0.42811,0.54898,0.43604,0.25088,1.33697,2.27299,1.7114,0.000660256,0.000660256,0.000660256
2,325.898,1.29924,1.74456,1.52444,0.7621,0.64,0.67773,0.38766,1.41132,2.11361,1.8303,0.00131379,0.00131379,0.00131379
3,474.332,1.38572,1.7519,1.59423,0.55711,0.51992,0.55444,0.28993,1.50732,2.24939,2.02106,0.00195412,0.00195412,0.00195412
4,632.346,1.42446,1.75948,1.64321,0.4847,0.55333,0.47824,0.24076,1.49051,2.86332,2.0503,0.0019406,0.0019406,0.0019406
5,791.707,1.40495,1.61489,1.5986,0.58532,0.54,0.58897,0.29381,1.613,1.82792,1.99115,0.0019208,0.0019208,0.0019208
6,934.377,1.37414,1.54723,1.57156,0.70149,0.61102,0.683,0.36755,1.45409,1.85788,1.80189,0.001901,0.001901,0.001901
7,1074.82,1.37248,1.5097,1.58755,0.58782,0.6,0.56939,0.32393,1.48742,2.04264,1.90541,0.0018812,0.0018812,0.0018812
8,1221.34,1.34371,1.48478,1.53798,0.62897,0.74667,0.70316,0.38612,1.44841,1.50061,1.84281,0.0018614,0.0018614,0.0018614
9,1360.38,1.30034,1.36177,1.53366,0.80766,0.7,0.73701,0.43795,1.3644,1.5899,1.74549,0.0018416,0.0018416,0.0018416
10,1496.25,1.27926,1.37007,1.50825,0.73229,0.74,0.74391,0.4688,1.27913,1.40375,1.6162,0.0018218,0.0018218,0.0018218
11,1647.66,1.22351,1.27387,1.45147,0.79759,0.73556,0.80402,0.52036,1.2176,1.25626,1.54222,0.001802,0.001802,0.001802
12,1786.83,1.21643,1.26722,1.45396,0.77503,0.73497,0.7886,0.50194,1.21315,1.22717,1.56554,0.0017822,0.0017822,0.0017822
13,1939.33,1.18261,1.23289,1.44342,0.7526,0.63333,0.73586,0.44725,1.32295,1.27983,1.71207,0.0017624,0.0017624,0.0017624
14,2077.41,1.2482,1.24594,1.47758,0.767,0.6145,0.72362,0.43043,1.33643,1.39161,1.7132,0.0017426,0.0017426,0.0017426
15,2218.23,1.22037,1.21318,1.45408,0.82754,0.68667,0.79472,0.51871,1.22739,1.20066,1.57588,0.0017228,0.0017228,0.0017228
16,2352.14,1.18813,1.25026,1.43898,0.73027,0.72,0.78221,0.5113,1.15119,1.39703,1.46519,0.001703,0.001703,0.001703
17,2483.1,1.12694,1.1425,1.39994,0.74004,0.83333,0.83112,0.5635,1.11477,1.02746,1.50369,0.0016832,0.0016832,0.0016832
18,2636.45,1.15961,1.14656,1.41292,0.82123,0.78667,0.83906,0.55168,1.18344,1.07888,1.55499,0.0016634,0.0016634,0.0016634
19,2788.81,1.13641,1.1344,1.42785,0.85857,0.76899,0.84568,0.56097,1.15991,1.01836,1.53542,0.0016436,0.0016436,0.0016436
20,2939.27,1.0863,1.09334,1.36548,0.89533,0.68429,0.8205,0.53563,1.14995,1.0925,1.52488,0.0016238,0.0016238,0.0016238
21,3083.2,1.07788,1.06451,1.36824,0.78015,0.74,0.79963,0.50934,1.22852,1.14671,1.59799,0.001604,0.001604,0.001604
22,3225.19,1.06576,1.06874,1.37047,0.85338,0.72667,0.87004,0.58603,1.11282,1.0125,1.46629,0.0015842,0.0015842,0.0015842
23,3362.18,1.0725,1.04185,1.36769,0.8385,0.76,0.84358,0.58909,1.09789,0.95362,1.45805,0.0015644,0.0015644,0.0015644
24,3505.48,1.0648,1.02307,1.36632,0.73395,0.80667,0.8265,0.57536,1.0732,1.02637,1.42207,0.0015446,0.0015446,0.0015446
25,3642.96,1.04704,1.04722,1.34388,0.84844,0.7464,0.82327,0.57214,1.06241,1.01416,1.42677,0.0015248,0.0015248,0.0015248
26,3782.28,1.04734,1.02048,1.32448,0.78094,0.77333,0.82668,0.59075,1.01673,1.13354,1.37244,0.001505,0.001505,0.001505
27,3922.32,1.06711,1.04314,1.33479,0.74304,0.8,0.837,0.59177,1.0347,0.98898,1.37892,0.0014852,0.0014852,0.0014852
